time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-05-23T19:22:38.000Z,0.316315,-78.123551,2352.0,27.0,180.1,6.5,7,gps,1.0,0.9,1.3,30.0,,,,72,
2019-05-23T19:22:39.000Z,0.316258,-78.123549,2352.0,21.0,177.1,6.75,9,gps,0.9,0.9,1.3,30.0,,,,72,
2019-05-23T19:22:40.000Z,0.316186,-78.123538,2352.0,21.0,176.0,7.0,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:41.000Z,0.316116,-78.123539,2352.0,20.0,176.2,7.5,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:42.000Z,0.316074,-78.123537,2352.0,18.0,175.5,6.0,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:43.000Z,0.316025,-78.123509,2352.0,17.0,169.2,6.5,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:44.000Z,0.316002,-78.123540,2352.0,17.0,179.0,5.5,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:45.000Z,0.315951,-78.123564,2352.0,15.0,182.2,5.25,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:46.000Z,0.315901,-78.123606,2352.0,14.0,184.2,5.0,9,gps,0.9,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:47.000Z,0.315855,-78.123617,2352.0,14.0,188.8,5.0,9,gps,1.0,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:48.000Z,0.315800,-78.123663,2352.0,13.0,195.7,5.0,9,gps,1.0,0.9,1.3,30.0,,,,71,
2019-05-23T19:22:49.000Z,0.315791,-78.123733,2353.0,13.0,199.5,5.0,9,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:22:50.000Z,0.315756,-78.123751,2353.0,13.0,199.5,4.75,9,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:22:51.000Z,0.315760,-78.123749,2353.0,12.0,197.2,2.5,9,gps,1.0,0.9,1.4,30.0,,,,71,
2019-05-23T19:22:52.000Z,0.315750,-78.123735,2353.0,10.0,189.8,2.25,9,gps,1.0,0.9,1.4,30.0,,,,71,
2019-05-23T19:22:53.000Z,0.315737,-78.123746,2353.0,11.0,193.0,2.0,9,gps,1.1,0.9,1.4,30.0,,,,71,
2019-05-23T19:22:54.000Z,0.315634,-78.123785,2353.0,11.0,198.6,3.75,9,gps,1.2,1.0,1.6,30.0,,,,71,
2019-05-23T19:22:55.000Z,0.315625,-78.123795,2353.0,13.0,200.8,3.25,9,gps,1.2,1.0,1.6,30.0,,,,71,
2019-05-23T19:22:56.000Z,0.315579,-78.123811,2353.0,15.0,200.0,3.5,9,gps,1.2,1.0,1.6,30.0,,,,71,
2019-05-23T19:22:57.000Z,0.315535,-78.123829,2353.0,19.0,200.0,3.0,9,gps,1.3,1.0,1.6,30.0,,,,71,
2019-05-23T19:22:58.000Z,0.315476,-78.123848,2353.0,24.0,200.4,3.0,10,gps,2.1,1.0,2.3,30.0,,,,71,
2019-05-23T19:22:59.000Z,0.315454,-78.123861,2353.0,30.0,201.4,3.0,10,gps,1.7,1.0,2.0,30.0,,,,71,
2019-05-23T19:23:00.000Z,0.315423,-78.123874,2353.0,37.0,203.8,3.25,10,gps,1.7,1.0,2.0,30.0,,,,71,
2019-05-23T19:23:01.000Z,0.315396,-78.123885,2353.0,47.0,203.3,3.25,10,gps,1.7,1.0,2.0,30.0,,,,71,
2019-05-23T19:23:02.000Z,0.315366,-78.123899,2353.0,57.0,204.0,3.25,10,gps,1.7,1.0,2.0,30.0,,,,71,
2019-05-23T19:23:03.000Z,0.315334,-78.123915,2353.0,69.0,204.7,3.5,10,gps,1.7,1.0,2.0,30.0,,,,71,
2019-05-23T19:23:04.000Z,0.315280,-78.123894,2353.0,46.0,195.8,3.75,10,gps,1.3,1.0,1.6,30.0,,,,71,
2019-05-23T19:23:05.000Z,0.315238,-78.123886,2352.0,28.0,191.1,3.75,9,gps,1.1,0.9,1.5,30.0,,,,71,
2019-05-23T19:23:06.000Z,0.315174,-78.123867,2353.0,24.0,184.4,4.0,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:07.000Z,0.315032,-78.123788,2352.0,22.0,179.1,4.75,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:08.000Z,0.314931,-78.123806,2352.0,22.0,178.7,5.0,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:09.000Z,0.314892,-78.123811,2353.0,23.0,178.0,5.0,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:10.000Z,0.314839,-78.123806,2353.0,26.0,180.6,5.0,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:11.000Z,0.314820,-78.123824,2352.0,29.0,187.9,4.25,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:12.000Z,0.314780,-78.123822,2352.0,31.0,187.5,4.25,8,gps,1.1,1.0,1.5,30.0,,,,71,
2019-05-23T19:23:13.000Z,0.314743,-78.123813,2352.0,33.0,186.4,4.0,8,gps,1.1,1.0,1.5,30.0,,,,71,
